Date|Squat|Bench|Barbell Rows|Overhead Press|Deadlift|Notes
07/12/2021|155,5,5,5,5,5|155,5,5,5,5,5|90*,5,5,5,5,5|||
07/15/2021|155,5,5,5,5,5|||105,5,5,5,5,5|210,5|
07/17/2021|160,5,5,5,5,5|160,5,5,5,5,5|90*,5,5,5,5,5|||
07/20/2021|160,5,5,5,5,5|||105,5,5,5,5,5|220,5|
07/22/2021|165,5,5,5,5,5|160,5,5,5,5,5|90*,5,5,5,5,5|||
07/24/2021|165,5,5,5,5,5|||105,5,5,5,5,5|230,5|
07/26/2021|165,5,5,5,5,5|160,5,5,5,5,5|90*,5,5,5,5,5|||
07/28/2021|165,5,5,5,5,5|||105,5,5,5,5,5|240,5|
07/31/2021|165,5,5,5,5,5|165,5,5,4,3,3|90*,5,5,5,5,5|||
08/02/2021|165,5,5,5,5,5|||105,5,5,5,5,5|250,5|
08/04/2021|170,5,5,5,5,5|165,5,5,2,5,5|90*,5,5,5,5,5|||
08/06/2021|170,5,5,5,5,5|||110,5,5,5,5,5|240,5|Deload, no gas for 260
08/08/2021|170,5,5,5,5,5|165,5,5,5,5,5|90*,5,5,5,5,5|||
08/11/2021|170,5,5,5,5,5|||105,5,5,5,5,5|240,5|Deload OH press, sore from yesterday rings exercise
08/17/2021|150,5,5,5,5,5|140,5,5,5,5,5|90*,5,5,5,5,5|||Deload, vacation Pau's bday
08/19/2021|155,5,5,5,5,5|||110,5,5,5,5,5|190,7|
08/21/2021|160,5,5,5,5,5|145,5,5,5,5,12|90*,5,5,5,5,5|||
08/25/2021|160,5,5,5,5,5|||100,5,5,5,5,5|150,7|
08/27/2021|160,5,5,5,5,5|145,5,5,5,5,5|90*,5,5,5,5,5|||
08/30/2021|165,5,5,5,5,5|||105,5,5,5,5,5|160,7|
09/13/2021|150,5,5,5,5,5|140,5,5,5,5,5|90*,5,5,5,5,5|||Deload, Drove to Oregon on 08/31, back 09/09/21
09/16/2021|155,5,5,5,5,5|||100,10,9,5,1|155,5|
09/18/2021|160,5,5,5,5,5|145,5,5,5,5,5|90*,25|||
09/19/2021|120,5,5,5,5,5|||100,5,5,5,5,5|155,5|
09/20/2021|165,5,5,5,5,5|||100,5,5,5,5,5|170,5|
09/22/2021|165,5,5,5,5,5|150,5,5,5,5,5|90*,5,5,5,5,5|||
09/23/2021|120,5,5,5,5,5|120,5,5,5,5,5|90*,5,5,5,5,5|||
09/24/2021|170,5,5,5,5,5|||105,5,5,5,5,5|190,5|
09/25/2021|120,5,5,5,5,5|||80,5,5,5,5,5|190,5|
10/16/2021|120,5,5,5,5,5|120,10,10,10,10,10|90*,5,5,5,5,5|||
10/18/2021|125,5,5,5,5,5|||80,5,5,5,5,5|190,5|
10/19/2021|125,5,5,5,5,5|||80,5,5,5,5,5|190,5|
10/20/2021|130,5,5,5,5,5|130,5,5,5,5,5|90*,5,5,5,5,5|||
10/25/2021|130,5,5,5,5,5|||85,5,5,5,5,5|190,5|
10/26/2021|135,5,5,5,5,5|135,5,5,5,5,5|90*,5,5,5,5,5|||
10/27/2021|170,5,5,5,5,5|||80,5,5,5,5,5|190,5|
10/28/2021|120,5,5,5,5,5|||80,5,5,5,5,5|170,5|
10/29/2021|140,5,5,5,5,5|140,5,5,5,5,5|100,5,5,5,5,5|||
10/30/2021|120,5,5,5,5,5|120,5,5,5,5,5|80,5,5,5,5,5|||
11/02/2021|120,5,5,5,5,5|||80,5,5,5,5,5|190,5|
11/03/2021|175,5,5,5,5,5|||95,5,5,5,5,5|210,5|
11/04/2021|120,5,5,5,5,5|120,5,5,5,5,5|80,5,5,5,5,5|||
11/05/2021|180,5,5,2,5,5|145,5,5,5,5,5|90*,5,5,5,5,5|||
11/06/2021|120,5,5,5,5,5|||80,5,5,5,5,5|190,5|
11/07/2021|180,5,5,5,5,5|||95,5,5,5,5,5|220,5|
